,cpus_per_task,time_limit,count_queue,count_queue_user,mean_req_cpus,sum_req_cpus,min_req_cpus,max_req_cpus,mean_req_cpus_user,sum_req_cpus_user,min_req_cpus_user,max_req_cpus_user,mean_timelimit,sum_timelimit,min_timelimit,max_timelimit,mean_timelimit_user,sum_timelimit_user,min_timelimit_user,max_timelimit_user,mean_now_time_waiting,sum_now_time_waiting,min_now_time_waiting,max_now_time_waiting,mean_now_time_waiting_user,sum_now_time_waiting_user,min_now_time_waiting_user,max_now_time_waiting_user,count_running,count_running_user,mean_now_time_running,sum_now_time_running,min_now_time_running,max_now_time_running,mean_now_time_running_user,sum_now_time_running_user,min_now_time_running_user,max_now_time_running_user
53,1,2,31,8,1.0,4,1,1,0.0,0,0,0,1.75,7,1,3,0.0,0,0,0,37.117898033511246,1150.6548390388486,2.5695109367370605,80.56951093673706,40.81951093673706,326.5560874938965,2.5695109367370605,80.56951093673706,4,0,32.572213888168335,130.28885555267334,2.572213888168335,60.57221388816834,0.0,0.0,0.0,0.0
54,1,1,31,22,1.0,4,1,1,1.0,2,1,1,1.75,7,1,3,1.0,2,1,1,39.47678212965688,1223.7802460193636,4.92839503288269,82.92839503288269,38.47384957833724,846.4246907234192,5.92839503288269,77.92839503288269,4,2,34.932180881500244,139.72872352600098,4.932180881500244,62.932180881500244,6.932180881500244,13.864361763000488,4.932180881500244,8.932180881500244
55,1,1,35,23,1.0,3,1,1,1.0,1,1,1,2.0,6,1,3,1.0,1,1,1,36.732348108291625,1285.6321837902071,2.332348108291626,84.33234810829163,38.24539158655249,879.6440064907074,2.332348108291626,79.33234810829163,3,1,45.0025717417399,135.00771522521973,6.335905075073242,64.33590507507324,6.335905075073242,6.335905075073242,6.335905075073242,6.335905075073242
56,1,1,34,22,1.0,4,1,1,1.0,2,1,1,1.75,7,1,3,1.0,2,1,1,36.39597473425024,1237.463140964508,3.248915910720825,85.24891591072083,37.294370456175365,820.4761500358583,3.248915910720825,78.24891591072083,4,2,34.75249695777893,139.00998783111572,1.2524969577789309,65.25249695777893,4.2524969577789316,8.504993915557861,1.2524969577789309,7.2524969577789316
57,1,1,34,22,1.0,4,1,1,1.0,2,1,1,1.75,7,1,3,1.0,2,1,1,37.72729192060583,1282.727925300598,4.580233097076416,86.58023309707642,38.62568764253096,849.7651281356813,4.580233097076416,79.58023309707643,4,2,36.08371806144715,144.33487224578855,2.5837180614471436,66.58371806144714,5.583718061447144,11.167436122894287,2.5837180614471436,8.583718061447144
58,1,2,34,11,1.0,4,1,1,0.0,0,0,0,1.75,7,1,3,0.0,0,0,0,37.780417778912714,1284.5342044830322,4.633358955383301,86.6333589553833,36.17881350083785,397.9669485092163,6.633358955383301,86.6333589553833,4,0,36.13619494438171,144.54477977752688,2.636194944381714,66.63619494438171,0.0,0.0,0.0,0.0
59,1,2,34,11,1.0,4,1,1,0.0,0,0,0,1.75,7,1,3,0.0,0,0,0,37.94017682355993,1289.9660120010374,4.7931180000305185,86.79311800003052,36.338572545485064,399.7242980003357,6.793118000030518,86.79311800003052,4,0,36.296353101730354,145.18541240692142,2.7963531017303467,66.79635310173036,0.0,0.0,0.0,0.0
60,1,1,39,25,1.0,3,1,1,1.0,1,1,1,2.0,6,1,3,1.0,1,1,1,36.33136644730201,1416.9232914447784,3.86982798576355,89.86982798576355,37.469827985763544,936.7456996440887,3.86982798576355,82.86982798576355,3,1,48.540276686350495,145.62083005905149,5.873610019683838,69.87361001968385,5.873610019683838,5.873610019683838,5.873610019683838,5.873610019683838
61,1,1,38,24,1.0,4,1,1,1.0,2,1,1,1.75,7,1,3,1.0,2,1,1,37.352847049110814,1419.408187866211,6.116004943847656,92.11600494384766,37.82433827718099,907.7841186523438,6.116004943847656,73.11600494384766,4,2,38.619654893875115,154.47861957550052,2.1196548938751216,72.11965489387512,5.119654893875122,10.239309787750244,2.1196548938751216,8.119654893875122
62,1,1,38,24,1.0,4,1,1,1.0,2,1,1,1.75,7,1,3,1.0,2,1,1,38.585183093422344,1466.2369575500488,7.34834098815918,93.34834098815918,39.05667432149251,937.3601837158203,7.34834098815918,74.3483409881592,4,2,39.852164030075066,159.40865612030032,3.3521640300750732,73.35216403007506,6.352164030075072,12.704328060150145,3.3521640300750732,9.352164030075071
