cpus_per_task,time_limit,job_name,user_id,count_queue,count_queue_user,mean_req_cpus,sum_req_cpus,min_req_cpus,max_req_cpus,mean_req_cpus_user,sum_req_cpus_user,min_req_cpus_user,max_req_cpus_user,mean_timelimit,sum_timelimit,min_timelimit,max_timelimit,mean_timelimit_user,sum_timelimit_user,min_timelimit_user,max_timelimit_user,mean_now_time_waiting,sum_now_time_waiting,min_now_time_waiting,max_now_time_waiting,mean_now_time_waiting_user,sum_now_time_waiting_user,min_now_time_waiting_user,max_now_time_waiting_user,count_running,count_running_user,mean_now_time_running,sum_now_time_running,min_now_time_running,max_now_time_running,mean_now_time_running_user,sum_now_time_running_user,min_now_time_running_user,max_now_time_running_user
1,1,job_250,10001,129,60,1.0,4,1,1,0,0,0,0,2.0,8,2,2,0,0,0,0,194.509659499161,25091.74607539177,11.447643995285034,537.447643995285,137.7643106619517,8265.858639717102,11.447643995285034,281.44764399528503,4,0,41.20127511024475,164.805100440979,17.45127511024475,65.45127511024475,0,0.0,0,0
1,1,job_251_test_only,10001,129,60,1.0,4,1,1,0,0,0,0,2.0,8,2,2,0,0,0,0,195.48955461405967,25218.1525452137,12.427539110183716,538.4275391101837,138.74420577685038,8324.652346611023,12.427539110183716,282.4275391101837,4,0,42.180469036102295,168.72187614440918,18.430469036102295,66.4304690361023,0,0.0,0,0
1,1,job_251,10001,129,60,1.0,4,1,1,0,0,0,0,2.0,8,2,2,0,0,0,0,195.53335043811057,25223.802206516266,12.47133493423462,538.4713349342346,138.78800160090128,8327.280096054077,12.47133493423462,282.4713349342346,4,0,42.22425699234009,168.89702796936035,18.474256992340088,66.47425699234009,0,0.0,0,0
1,1,job_252_test_only,10002,129,42,1.0,4,1,1,1.0,4,1,1,2.0,8,2,2,2.0,8,2,2,197.1403534116671,25431.105590105057,14.078337907791138,540.0783379077911,240.12595695541017,10085.290192127228,32.07833790779114,432.07833790779114,4,4,43.83358907699585,175.3343563079834,20.08358907699585,68.08358907699585,43.83358907699585,175.3343563079834,20.08358907699585,68.08358907699585
1,1,job_252,10002,129,42,1.0,4,1,1,1.0,4,1,1,2.0,8,2,2,2.0,8,2,2,197.18541762255882,25436.91887331009,14.123402118682861,540.1234021186829,240.1710211663019,10087.18288898468,32.12340211868286,432.12340211868286,4,4,43.878220081329346,175.51288032531738,20.128220081329346,68.12822008132935,43.878220081329346,175.51288032531738,20.128220081329346,68.12822008132935
1,2,job_253__test_only,10003,131,27,1.0,4,1,1,0,0,0,0,2.0,8,2,2,0,0,0,0,193.76574710125232,25383.312870264053,2.9718539714813232,542.9718539714813,259.2681502677776,7000.240057229996,50.97185397148132,542.9718539714813,4,0,30.97866988182068,123.91467952728271,1.9786698818206787,70.97866988182068,0,0.0,0,0
1,2,job_253,10003,131,27,1.0,4,1,1,0,0,0,0,2.0,8,2,2,0,0,0,0,193.81405022854113,25389.64057993889,3.0201570987701416,543.0201570987701,259.31645339506645,7001.544241666794,51.02015709877014,543.0201570987701,4,0,31.023699045181274,124.0947961807251,2.0236990451812744,71.02369904518127,0,0.0,0,0
1,1,job_254_test_only,10001,130,62,1.0,4,1,1,0,0,0,0,1.75,7,1,2,0,0,0,0,195.89399686593276,25466.21959257126,6.870919942855835,546.8709199428558,142.74188768479132,8849.997036457062,8.870919942855835,290.87091994285583,4,0,16.875704050064087,67.50281620025635,2.875704050064087,31.875704050064087,0,0.0,0,0
1,1,job_254,10001,130,62,1.0,4,1,1,0,0,0,0,1.75,7,1,2,0,0,0,0,195.93544188279373,25471.607444763184,6.912364959716797,546.9123649597168,142.78333270165228,8852.566627502441,8.912364959716797,290.9123649597168,4,0,16.916740894317627,67.66696357727051,2.916740894317627,31.916740894317627,0,0.0,0,0
1,2,job_255_test_only,10002,132,41,1.0,4,1,1,1.0,4,1,1,1.75,7,1,2,1.75,7,1,2,197.19822415438566,26030.165588378906,5.1073150634765625,551.1073150634766,236.20487603908632,9684.399917602539,11.107315063476562,422.10731506347656,4,4,21.11387610435486,84.45550441741943,7.113876104354858,36.11387610435486,21.11387610435486,84.45550441741943,7.113876104354858,36.11387610435486
